구분,2010년,,2011년,,2012년,,2013년,,2014년,
,평균,필지,평균,필지,평균,필지,평균,필지,평균,필지
,최소,최대,최소,최대,최소,최대,최소,최대,최소,최대
서울특별시 종로구,"415,880",7,"591,407",3,"199,793",3,"36,680",2,"114,665",2
,"192,530","939,600","410,960","840,000","58,440","423,520","29,910","43,450","113,660","115,670"
서울특별시 중랑구,"1,156,731",15,"1,024,500",3,"1,042,736",5,"1,118,075",2,"765,570",3
,"907,550","1,508,600","643,560","1,280,000","751,880","1,408,720","891,890","1,344,260","410,950","1,128,400"
서울특별시 성북구,"268,910",2,-,-,"368,320",1,-,-,-,-
,"264,710","273,110",-,-,"368,320","368,320",-,-,-,-
서울특별시 강북구,-,-,"63,250",1,"678,485",2,"812,950",7,-,-
,-,-,"63,250","63,250","438,600","918,370","311,320","1,500,000",-,-
서울특별시 도봉구,"580,796",5,-,-,"256,356",5,"967,275",2,-,-
,"326,090","900,000",-,-,"63,870","454,550","732,020","1,202,530",-,-
서울특별시 노원구,"322,395",4,"476,000",2,"1,000,660",3,"272,466",5,"642,450",1
,"173,610","465,000","476,000","476,000","659,540","1,250,000","163,780","412,800","642,450","642,450"
서울특별시 은평구,"254,445",11,"279,730",5,-,-,"1,083,383",4,-,-
,"151,350","745,450","68,120","714,290",-,-,"205,480","2,180,000",-,-
서울특별시 마포구,-,-,-,-,"2,142,860",1,-,-,-,-
,-,-,-,-,"2,142,860","2,142,860",-,-,-,-
서울특별시 강서구,"276,896",14,"444,264",24,"434,284",19,"603,340",13,"1,134,200",2
,"121,010","467,350","71,430","1,134,140","125,000","1,675,980","132,330","1,542,310","302,850","1,965,550"
서울특별시 구로구,"755,860",2,"665,100",4,"890,065",2,"410,085",4,"572,503",4
,"604,890","906,830","454,550","904,870","882,500","897,630","117,650","1,058,780","238,090","875,850"
서울특별시 금천구,"338,120",1,-,-,"251,890",1,-,-,-,-
,"338,120","338,120",-,-,"251,890","251,890",-,-,-,-
서울특별시 서초구,"590,610",37,"918,382",42,"828,476",16,"463,605",46,"236,457",3
,"33,620","1,411,410","193,590","1,831,850","157,560","1,687,360","76,920","2,125,000","181,120","346,920"
서울특별시 강남구,"843,333",14,"672,841",22,"652,648",17,"653,145",2,-,-
,"135,140","1,376,700","152,280","1,363,640","117,650","1,980,200","428,570","877,720",-,-
서울특별시 송파구,"989,818",4,"739,875",4,"591,810",3,"757,570",1,-,-
,"567,160","1,692,310","720,720","757,580","510,460","635,250","757,570","757,570",-,-
서울특별시 강동구,"606,032",31,"739,407",20,"891,759",21,"757,832",13,-,-
,"202,230","1,036,590","257,380","1,496,260","210,000","2,459,020","264,680","1,250,000",-,-
부산광역시 서구,"58,585",2,"48,233",3,"105,333",3,"48,350",1,-,-
,"41,980","75,190","24,280","83,040","81,450","148,940","48,350","48,350",-,-
부산광역시 동구,-,-,-,-,-,-,"24,100",2,-,-
,-,-,-,-,-,-,"11,600","36,600",-,-
부산광역시 영도구,"132,270",2,"190,125",2,-,-,"309,488",5,"304,690",1
,"52,950","211,590","148,370","231,880",-,-,"266,340","338,280","304,690","304,690"
부산광역시 부산진구,"271,960",1,"15,160",2,"22,490",1,-,-,-,-
,"271,960","271,960","13,020","17,300","22,490","22,490",-,-,-,-
부산광역시 동래구,"131,305",2,"170,080",1,"294,530",1,"178,154",9,-,-
,"56,740","205,870","170,080","170,080","294,530","294,530","28,370","465,120",-,-
부산광역시 남구,"160,360",3,"400,700",3,"247,930",1,"147,000",1,-,-
,"78,950","242,560","363,010","474,680","247,930","247,930","147,000","147,000",-,-
부산광역시 북구,"160,787",9,"153,355",8,"142,925",17,"88,016",10,"163,955",2
,"39,280","320,000","34,810","355,470",630,"600,000","18,070","270,500","140,860","187,050"
부산광역시 해운대구,"201,669",8,"349,124",27,"233,639",20,"267,671",14,"439,302",5
,"30,170","422,990","89,330","461,000","91,110","472,730","30,240","633,260","48,260","1,186,440"
부산광역시 사하구,"144,713",4,"137,853",3,"119,941",9,"195,673",3,"136,600",2
,"49,040","350,000","100,000","205,210","60,940","362,420","19,550","367,470","136,600","136,600"
부산광역시 금정구,"131,367",64,"170,486",129,"168,396",97,"197,261",104,"186,604",16
,"28,900","255,880","6,530","451,920","34,420","519,500","18,150","538,460","119,130","274,040"
부산광역시 강서구,"154,259",467,"161,178",634,"182,496",616,"162,322",729,"170,046",160
,"9,660","423,510","16,950","490,080","20,050","606,060","47,900","554,950","19,060","513,760"
부산광역시 연제구,-,-,-,-,-,-,-,-,"805,187",3
,-,-,-,-,-,-,-,-,"487,380","1,416,680"
부산광역시 수영구,-,-,-,-,-,-,"455,855",4,-,-
,-,-,-,-,-,-,"296,420","933,840",-,-
부산광역시 사상구,"117,105",6,"95,536",5,-,-,"69,626",9,-,-
,"26,200","266,900","75,810","116,620",-,-,"26,640","147,000",-,-
부산광역시 기장군,"135,441",560,"147,815",618,"157,845",624,"165,108",602,"186,992",128
,"11,330","422,730","3,660","443,790","11,520","421,430","6,760","495,090","6,050","592,880"
대구광역시 동구,"115,918",216,"126,599",198,"112,026",298,"118,889",317,"117,324",81
,"2,070","412,590","17,500","417,960","7,300","505,560","8,750","544,060","11,820","392,740"
대구광역시 서구,"250,827",7,"317,522",6,"231,363",13,"261,834",14,"347,335",2
,"81,970","326,440","179,050","453,430","12,660","498,750","64,700","728,880","333,330","361,340"
대구광역시 북구,"175,253",84,"179,242",110,"208,104",129,"207,568",114,"173,529",37
,"20,440","452,830","23,490","465,890","30,300","498,900","26,480","626,130","35,170","412,970"
대구광역시 수성구,"164,742",121,"144,192",74,"180,830",118,"229,483",96,"185,236",39
,"16,260","468,630","25,510","369,300","4,890","524,150","79,210","665,290","12,920","396,500"
대구광역시 달서구,"201,511",14,"195,433",13,"202,519",8,"260,177",20,"341,654",5
,"44,470","344,830","45,400","302,420","25,540","482,920","52,630","754,540","262,600","426,380"
대구광역시 달성군,"87,039",814,"89,062","1,007","95,844",967,"105,031","1,464","91,379",556
,"4,520","243,500","1,600","248,450","5,400","264,830",300,"313,470","10,210","227,270"
인천광역시 중구,"335,035",157,"298,963",75,"296,286",67,"280,949",101,"249,460",25
,"34,130","769,230","78,230","608,700","141,360","640,630","37,010","833,330","99,000","519,870"
인천광역시 남구,"431,963",3,"128,800",2,-,-,"385,683",4,-,-
,"277,080","565,000","97,600","160,000",-,-,"102,190","814,500",-,-
인천광역시 연수구,"837,140",3,"458,596",14,"425,492",10,"637,140",14,"612,938",5
,"728,350","983,070","157,890","687,500","226,140","738,920","297,020","857,860","126,050","895,520"
인천광역시 남동구,"341,065",68,"329,341",65,"346,229",60,"328,964",61,"382,537",11
,"76,170","756,260","135,870","605,040","62,630","690,210","82,300","815,240","168,160","677,500"
인천광역시 부평구,"884,146",5,"568,267",6,"615,915",8,"1,161,590",5,-,-
,"873,730","897,580","230,430","810,810","237,050","852,940","890,000","1,495,310",-,-
인천광역시 계양구,"308,430",145,"248,458",101,"217,582",68,"182,903",81,"182,765",10
,"86,670","968,000","90,770","801,980","110,820","693,260","12,920","574,600","115,170","288,280"
인천광역시 서구,"326,987",66,"315,027",93,"286,528",132,"358,463",68,"243,558",12
,"22,660","905,000","93,370","832,190","59,390","869,930","75,080","832,060","43,740","655,470"
인천광역시 강화군,"104,626","2,439","106,810","1,750","99,995","1,346","95,321","1,341","79,458",326
,"4,930","316,720","4,420","361,450","5,650","346,090","2,510","340,480","8,390","303,030"
인천광역시 옹진군,"63,450",792,"89,455",362,"82,924",330,"68,689",334,"65,899",52
,790,"357,140","1,150","457,140",480,"404,040","1,150","324,680","3,270","273,540"
광주광역시 동구,"82,611",22,"62,718",40,"68,670",34,"142,028",28,"201,278",15
,"12,570","242,110","2,380","258,930","5,320","248,350","5,560","901,280","4,000","699,080"
광주광역시 서구,"123,455",106,"145,211",133,"165,079",117,"236,497",140,"305,795",39
,"24,950","272,400","35,000","302,470","2,660","358,240","47,780","777,770","25,120","816,530"
광주광역시 남구,"46,639",187,"55,588",180,"51,397",166,"45,580",185,"36,941",29
,"10,000","272,500","4,480","301,000","5,500","273,170","4,300","250,000","21,900","60,520"
광주광역시 북구,"71,090",221,"81,471",263,"93,180",300,"82,586",287,"79,336",91
,"5,090","264,530","1,110","302,480","3,560","315,630","6,010","364,300","9,160","257,570"
광주광역시 광산구,"61,387",725,"63,727",749,"77,690",835,"79,104",890,"61,581",173
,100,"266,340","7,400","307,690","2,390","369,050","2,700","383,280","4,210","282,010"
대전광역시 동구,"79,207",216,"77,819",237,"80,915",167,"57,752",290,"55,633",25
,"7,550","452,610","3,150","388,000","4,310","498,870","1,430","407,740","10,390","147,650"
대전광역시 중구,"64,624",77,"69,665",81,"90,536",80,"96,813",80,"63,569",14
,"7,900","204,100","6,950","325,850","3,050","361,000","7,330","460,500","18,140","114,390"
대전광역시 서구,"91,305",179,"94,863",212,"104,305",163,"82,765",111,"121,056",24
,"10,410","465,990","12,460","467,090","6,800","422,760","1,440","287,360","18,320","281,350"
대전광역시 유성구,"173,935",293,"193,044",357,"186,090",278,"217,401",247,"229,317",62
,"13,760","454,070","24,290","514,370","5,710","500,000","4,840","1,113,970","30,180","779,000"
대전광역시 대덕구,"97,600",80,"105,350",95,"121,118",73,"106,968",63,"81,969",15
,"11,720","470,090","14,350","481,350","13,960","460,280","15,120","388,350","24,390","215,880"
울산광역시 중구,"98,208",36,"80,679",34,"109,326",60,"98,327",54,"113,534",11
,"30,090","282,050","22,480","151,230","23,500","204,990","31,590","213,070","59,810","150,890"
울산광역시 남구,"157,031",37,"149,300",21,"143,721",22,"126,220",27,"202,766",7
,"21,570","363,000","24,650","362,320","11,080","404,380","14,490","310,520","62,320","366,660"
울산광역시 동구,"115,059",36,"172,655",36,"151,383",43,"151,482",31,"331,636",7
,"16,560","250,190","12,680","408,160","5,000","305,260","19,330","379,430","3,800","909,090"
울산광역시 북구,"132,722",314,"132,090",242,"174,205",298,"124,112",247,"135,210",79
,"3,520","386,970","10,070","398,940",710,"535,170","4,650","332,680","20,000","450,110"
울산광역시 울주군,"101,260","1,935","107,764","1,799","108,652","1,649","115,797","1,745","118,891",388
,"4,230","315,520","1,040","339,130","1,370","339,670","4,770","378,380","13,000","363,020"
세종특별자치시 세종특별자치시,-,-,-,-,"117,784",580,"122,452","1,719","121,587",335
,-,-,-,-,"3,000","410,000",10,"488,630","9,690","440,000"
경기도 수원시 장안구,"345,397",18,"283,550",38,"361,924",32,"330,434",21,"656,321",52
,"74,130","1,286,240","60,540","600,000","9,520","953,330","23,220","1,204,260","394,500","976,500"
경기도 수원시 권선구,"434,902",78,"285,988",95,"333,770",136,"399,440",118,"443,984",74
,"119,210","1,208,890","35,390","816,620","34,520","1,009,730","61,910","1,159,420","142,130","764,100"
경기도 수원시 팔달구,-,-,-,-,"549,000",1,-,-,-,-
,-,-,-,-,"549,000","549,000",-,-,-,-
경기도 수원시 영통구,"1,195,491",12,"431,540",2,"529,100",2,"784,820",1,"769,222",9
,"759,800","1,512,200","431,540","431,540","180,870","877,330","784,820","784,820","559,000","1,005,500"
경기도 성남시 수정구,"964,318",48,"748,430",43,"643,935",57,"460,320",28,"310,131",9
,"136,160","4,000,000","155,880","2,860,220","83,130","1,794,870","76,110","1,682,130","83,210","678,420"
경기도 성남시 중원구,"314,934",28,"270,698",4,"463,799",10,"347,344",21,"408,608",5
,"68,970","696,100","202,170","339,850","85,470","1,732,670","6,300","2,115,380","62,500","1,515,150"
경기도 성남시 분당구,"1,540,851",366,"872,509",67,"718,595",36,"704,687",49,"999,229",8
,"31,330","3,032,260","34,330","2,441,260","103,200","2,629,540","75,490","2,046,160","324,560","1,903,770"
경기도 의정부시,"252,075",68,"265,833",60,"240,217",63,"278,508",69,"235,579",21
,"42,510","581,820","9,200","802,920","17,400","599,690","30,410","760,000","69,160","454,060"
경기도 안양시 만안구,"355,057",3,"552,222",6,"590,971",11,"810,740",8,"830,095",8
,"198,110","537,060","176,600","1,453,940","155,590","1,315,790","315,050","1,305,000","730,110","980,090"
경기도 안양시 동안구,"381,440",6,"629,944",8,"625,827",7,"645,150",3,-,-
,"166,850","777,780","55,990","1,334,400","247,610","814,900","192,120","993,380",-,-
경기도 부천시 원미구,"452,260",4,"546,252",5,"528,246",9,"366,220",3,"1,115,100",1
,"342,740","597,610","233,700","1,079,140","280,000","1,111,110","247,100","548,900","1,115,100","1,115,100"
경기도 부천시 소사구,"604,969",13,"484,698",5,"606,380",12,"594,325",13,"714,110",2
,"201,100","1,195,970","292,000","1,059,320","280,790","1,193,750","262,070","1,214,950","302,320","1,125,900"
경기도 부천시 오정구,"265,452",35,"289,079",34,"321,594",39,"589,903",32,"300,430",8
,"133,930","849,280","15,380","756,050","145,230","904,330","117,290","1,814,290","115,980","628,010"
경기도 광명시,"357,329",48,"456,083",22,"537,514",30,"480,641",28,"276,730",33
,"158,540","790,910","241,290","757,000","151,280","1,043,060","170,110","969,700","121,000","751,360"
경기도 평택시,"139,512","1,546","181,392","1,906","160,330","1,636","165,084","1,453","141,636",368
,"8,610","458,020","12,570","675,680","13,960","562,760","3,710","579,710","25,830","514,550"
경기도 동두천시,"152,910",104,"142,926",99,"118,164",79,"113,394",77,"84,931",11
,"6,510","453,300","9,110","470,000","21,200","257,440","12,700","393,120","26,500","124,360"
경기도 안산시 상록구,"167,060",127,"189,054",151,"165,206",134,"157,722",87,"143,110",18
,"23,100","392,860","30,200","441,990","23,260","454,550","56,160","416,850","72,590","221,210"
경기도 안산시 단원구,"162,129",263,"138,472",364,"186,102",251,"160,254",257,"154,161",43
,"43,600","382,410","16,640","453,820","26,610","494,010","4,420","542,980","41,510","287,240"
경기도 고양시 덕양구,"299,499",360,"321,406",379,"335,663",306,"303,270",237,"277,790",72
,"24,480","750,000","8,960","869,570","10,060","1,018,520","48,780","1,005,050","73,310","663,790"
경기도 고양시 일산동구,"306,562",155,"256,417",205,"318,072",176,"343,308",171,"380,870",39
,"48,210","729,960","45,730","873,660","86,000","1,012,090","49,660","1,030,930","111,110","1,121,720"
경기도 고양시 일산서구,"314,251",38,"269,088",52,"271,770",83,"298,117",97,"258,418",20
,"148,210","679,350","136,010","667,000","108,040","960,000","105,850","1,000,000","102,850","880,330"
경기도 과천시,"672,903",65,"719,047",37,"762,363",27,"739,630",35,"488,850",4
,"82,180","1,397,060","142,250","1,605,840","453,860","1,470,590","348,680","1,801,800","413,900","574,360"
경기도 구리시,"407,092",49,"479,085",56,"472,285",34,"565,011",40,"424,714",12
,"106,480","1,020,310","106,600","1,181,820","154,320","1,057,400","119,050","1,822,430","125,800","909,090"
경기도 남양주시,"241,376","1,008","253,801","1,454","270,460","1,200","247,934","1,069","268,169",183
,"7,200","787,880","1,900","817,930","6,600","841,350","10,190","758,620","13,370","836,400"
경기도 오산시,"375,905",35,"472,332",77,"349,752",71,"382,174",124,"547,429",7
,"74,490","1,025,460","83,330","1,271,670","111,670","924,370","103,340","924,360","262,270","1,177,080"
경기도 시흥시,"231,501",351,"218,538",273,"217,047",271,"210,480",346,"246,638",97
,"67,020","614,560","9,060","633,800","46,130","650,000","46,000","600,000","58,360","539,810"
경기도 군포시,"243,117",29,"252,389",27,"212,129",47,"194,588",43,"503,626",11
,"64,520","574,540","86,080","451,130","77,980","334,420","107,470","623,340","144,120","1,186,660"
경기도 의왕시,"259,216",73,"313,922",69,"285,069",113,"257,969",84,"296,766",18
,"21,620","691,240","31,770","814,600","43,150","627,270","30,210","746,510","97,080","666,660"
경기도 하남시,"325,233",176,"377,404",131,"369,088",130,"325,687",130,"331,729",33
,"11,500","914,630","10,540","847,160","12,110","833,330","14,340","759,690","115,380","564,510"
경기도 용인시 처인구,"211,372","1,337","194,694","1,249","194,434","1,052","185,756","1,155","152,020",281
,"9,080","873,490","3,720","768,050","2,690","832,500",300,"684,930",10,"453,600"
경기도 용인시 기흥구,"508,442",86,"488,247",92,"468,657",136,"479,951",81,"449,294",18
,"40,670","876,970","29,770","784,040","90,680","877,210",10,"1,455,880","51,670","842,270"
경기도 용인시 수지구,"549,134",33,"471,975",32,"453,537",50,"586,560",40,"650,628",4
,"60,490","876,900","80,280","782,330","42,020","777,650","105,260","1,456,450","391,300","817,480"
경기도 파주시,"174,326","1,406","114,017","1,919","88,522","1,802","111,336","1,642","75,466",481
,"3,930","680,750","1,510","478,130",400,"378,180","2,130","493,890","2,720","326,820"
경기도 이천시,"92,872","2,203","94,281","2,216","92,378","1,786","104,204","1,721","90,139",421
,"6,060","328,520","9,310","337,930","9,780","336,390","1,520","402,880","16,580","366,760"
경기도 안성시,"89,435","2,000","91,854","1,855","84,950","1,433","76,568","1,546","64,224",350
,"5,560","293,380","3,450","301,200","9,000","275,750","4,430","255,470","13,800","176,320"
경기도 김포시,"238,207","1,320","222,583","1,295","229,515",999,"207,600","1,112","212,811",238
,"24,440","787,880","27,560","672,490","12,270","671,150","14,850","666,660","20,580","717,940"
경기도 화성시,"152,937","2,344","154,870","2,196","147,259","3,073","156,301","2,929","156,457",782
,220,"494,380","1,690","560,500","6,350","469,480","14,590","537,630","12,300","548,390"
경기도 광주시,"213,923",901,"203,292","1,281","269,447","1,119","256,953",951,"285,468",219
,"9,950","732,600","6,580","723,280","8,480","934,310","7,210","954,500","3,370","1,050,390"
경기도 양주시,"189,535",598,"229,830",967,"177,856",594,"169,797",594,"171,853",114
,"7,460","508,730","5,980","760,420","21,510","504,730","2,580","554,160","5,090","514,280"
경기도 포천시,"100,366","2,351","96,426","1,865","89,004","1,662","93,624","1,561","93,584",342
,560,"364,960","4,530","363,260","2,130","317,320","2,450","388,600","3,360","338,980"
경기도 여주시,-,-,-,-,-,-,"74,623",415,"62,402",343
,-,-,-,-,-,-,"4,520","252,280","6,290","184,210"
경기도 여주군,"79,214","2,145","77,716","1,942","76,768","1,547","72,385",948,-,-
,"3,630","272,250","2,470","239,520","6,050","246,910","4,390","258,300",-,-
경기도 연천군,"45,941",853,"54,119",596,"44,968",733,"47,402",683,"33,495",154
,750,"152,440",790,"170,650",530,"139,530",880,"151,280","1,600","110,220"
경기도 가평군,"101,659","1,353","106,533","1,222","106,663","1,125","111,466",987,"111,495",213
,"2,690","310,470","5,920","335,200","2,950","326,000","2,650","380,200","5,690","346,150"
경기도 양평군,"115,667","2,709","117,072","2,622","115,285","2,077","112,180","1,767","101,884",376
,630,"385,750","1,090","383,700","5,230","381,070","3,020","376,380","18,120","333,330"
강원도 춘천시,"81,229","1,682","77,830","1,587","95,867","1,432","82,993","1,452","87,548",223
,"1,360","289,580","1,830","247,330","1,660","348,740",370,"321,950","3,330","303,120"
강원도 원주시,"65,102","1,356","79,131","1,642","75,527","1,406","81,244","1,407","66,623",336
,910,"236,010","1,210","293,730","1,370","282,490",300,"303,030","4,810","236,120"
강원도 강릉시,"29,205","1,202","31,575","1,254","37,143","1,267","39,243","1,294","42,073",226
,940,"109,980",480,"117,710",920,"150,360","1,350","152,910","5,570","151,830"
강원도 동해시,"36,475",103,"52,037",114,"58,275",97,"57,114",108,"43,930",14
,"4,000","110,210","6,120","157,730","7,550","220,130","4,190","175,890","5,170","97,780"
강원도 태백시,"13,601",47,"12,801",81,"15,441",75,"11,888",74,"9,549",29
,"1,900","40,770","2,340","33,330","1,400","52,000",710,"28,300","3,990","21,040"
강원도 속초시,"73,308",89,"72,647",79,"117,540",96,"83,236",90,"84,598",28
,690,"182,410","5,640","175,970","4,950","452,380","4,960","307,820","9,350","271,140"
강원도 삼척시,"17,022",671,"16,838",534,"20,836",535,"16,867",605,"37,940",116
,230,"69,930",280,"75,040",290,"91,900",230,"72,360",500,"173,160"
강원도 홍천군,"47,132","2,490","44,171","2,473","44,717","2,080","44,075","2,181","38,881",372
,20,"166,810",970,"146,480","1,480","141,210","1,180","151,280","1,970","121,070"
강원도 횡성군,"36,088","2,059","36,400","1,881","36,430","1,444","36,673","1,320","33,886",349
,"1,900","105,630","1,850","107,690",640,"110,330","2,260","120,990","4,210","95,390"
강원도 영월군,"18,892","1,534","22,433","1,535","22,735","1,322","23,240","1,196","23,555",291
,860,"66,130",470,"79,790",380,"78,150",670,"94,070",410,"75,000"
강원도 평창군,"32,979","1,788","42,930","1,676","41,788","1,571","39,945","1,272","42,705",280
,300,"120,040","1,040","130,590",670,"141,190",370,"136,570","1,890","122,850"
강원도 정선군,"13,784",910,"14,047",815,"16,571",812,"13,474",771,"15,033",161
,330,"45,770",550,"49,600",40,"59,800",180,"47,240","1,180","53,030"
강원도 철원군,"21,954",884,"23,945",899,"20,503",964,"20,005",965,"20,940",297
,330,"58,580",170,"61,930",320,"54,860","1,210","47,520","5,740","40,390"
강원도 화천군,"24,578",719,"27,621",597,"25,454",659,"22,926",571,"25,641",133
,"1,040","82,860","1,700","90,730",680,"77,260",390,"63,460","2,460","75,520"
