Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
행정구역별(1),행정구역별(2),2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
행정구역별(1),행정구역별(2),경지면적: 계,논,밭,경지면적: 계,논,밭,경지면적: 계,논,밭,경지면적: 계,논,밭,경지면적: 계,논,밭
강원,소계,99258,32917,66341,102128,31718,70410,101104,31092,70012,100226,30189,70037,99531,29896,69635
강원,춘천시,6186,1786,4400,5902,1315,4587,5745,1291,4454,5728,1190,4538,5696,1174,4522
강원,원주시,7652,3456,4196,7799,3328,4471,7718,3231,4487,7539,3218,4322,7495,3156,4339
강원,강릉시,7012,2194,4818,7019,2589,4430,7018,2577,4441,6903,2441,4462,6839,2333,4507
강원,동해시,853,246,607,813,128,684,774,115,659,767,112,655,762,112,650
강원,태백시,850,2,848,1248,10,1238,1211,0,1211,1173,0,1173,1171,0,1171
강원,속초시,542,387,156,552,247,306,552,249,303,558,247,311,541,249,292
강원,삼척시,4056,942,3114,4107,637,3469,4051,609,3442,4056,576,3481,4037,590,3447
강원,홍천군,10976,2879,8096,11189,2617,8572,11010,2467,8542,10865,2410,8455,10762,2365,8397
강원,횡성군,8749,2566,6182,9491,2470,7021,9440,2383,7057,9417,2289,7128,9377,2360,7017
강원,영월군,6065,422,5643,5882,530,5351,5814,480,5335,5728,350,5378,5690,335,5355
강원,평창군,9156,156,9000,10029,498,9531,9882,465,9417,9781,304,9477,9639,263,9376
강원,정선군,6855,122,6733,7747,241,7507,7694,247,7447,7655,208,7447,7616,208,7408
강원,철원군,12551,10027,2525,12223,9801,2421,12216,9808,2408,12194,9808,2386,12196,9809,2387
강원,화천군,3011,568,2443,2805,497,2308,2770,490,2281,2759,486,2273,2749,518,2231
강원,양구군,4388,1399,2989,4658,1345,3313,4653,1299,3354,4640,1257,3383,4648,1268,3379
강원,인제군,3588,895,2694,3610,703,2907,3577,708,2870,3543,689,2854,3510,633,2878
강원,고성군,3880,3055,825,4119,3107,1012,4058,3028,1029,4021,2993,1029,3928,2933,996
강원,양양군,2887,1816,1071,2937,1655,1283,2922,1646,1275,2899,1613,1286,2874,1590,1283
전남,소계,286396,168387,118009,281077,167299,113778,277095,165770,111325,274435,163688,110747,273507,161878,111629
전남,목포시,487,104,384,431,108,323,407,99,308,404,95,308,397,95,302
전남,여수시,7213,2298,4916,6073,2006,4067,5766,1949,3817,5737,1896,3841,5718,1831,3887
전남,순천시,12674,5393,7280,12000,4770,7230,11755,4785,6970,11652,4731,6920,11568,4721,6846
전남,나주시,21193,13651,7542,21035,12534,8501,20845,12606,8240,20526,12206,8320,20505,12185,8319
전남,광양시,4765,1257,3508,4750,1328,3422,4701,1399,3301,4677,1415,3261,4645,1322,3323
전남,담양군,8942,6299,2643,9098,5372,3726,8930,5334,3596,8825,5267,3558,8766,5289,3477
전남,곡성군,8004,4589,3414,7574,4252,3322,7292,4169,3124,7233,4200,3033,7205,4206,2999
전남,구례군,5299,2568,2731,4723,2297,2426,4609,2233,2375,4565,2177,2387,4557,2141,2416
전남,고흥군,20768,13619,7149,20513,13348,7166,20065,13075,6990,19779,12803,6976,19720,12615,7104
전남,보성군,13595,7981,5614,13507,8214,5293,13373,8323,5050,13202,8218,4984,13164,8058,5106
전남,화순군,9141,5335,3806,8751,4851,3900,8595,4811,3784,8547,4735,3812,8422,4636,3786
전남,장흥군,11170,8911,2259,10997,8252,2745,10830,8186,2643,10800,8172,2628,10798,8134,2664
전남,강진군,12043,10227,1817,12033,9881,2152,11962,9864,2098,11883,9760,2124,11853,9772,2081
전남,해남군,33623,20259,13364,35618,23211,12406,35450,22871,12579,35233,22546,12687,35221,22359,12861
전남,영암군,21780,15648,6132,22818,16057,6761,22550,15851,6699,22327,15720,6607,22293,15549,6744
전남,무안군,19889,9347,10542,19270,8797,10473,18947,8915,10032,18828,8775,10052,18802,8770,10032
전남,함평군,12268,7641,4627,12006,7504,4503,11903,7483,4420,11778,7358,4420,11728,7177,4550
전남,영광군,16363,10854,5509,16156,11005,5150,15954,10794,5159,15813,10694,5120,15830,10542,5288
전남,장성군,10157,4567,5590,9901,5021,4880,9750,4988,4763,9583,4969,4614,9419,4816,4603
전남,완도군,5690,2467,3223,5175,2123,3052,5007,2091,2916,4998,2066,2931,4982,2068,2914
전남,진도군,11973,6219,5755,10728,6458,4270,10632,6351,4281,10555,6322,4232,10514,6135,4379
전남,신안군,19357,9150,10206,17921,9911,8010,17773,9592,8181,17490,9561,7930,17400,9456,7944
경북,소계,257323,117936,139387,249273,102399,146873,246429,102303,144126,243936,100587,143350,235889,97927,137963
경북,포항시,13073,7992,5081,12445,6916,5529,12239,6631,5608,12119,6561,5558,12048,6566,5482
경북,경주시,19152,13524,5628,18363,12366,5997,18042,12044,5998,17923,11954,5969,17868,11919,5949
경북,김천시,14447,5354,9093,14491,4134,10356,14514,4159,10355,14342,4079,10263,14229,4057,10172
경북,안동시,19023,6409,12614,18473,5166,13307,18073,5208,12865,17605,4953,12653,17535,4943,12592
경북,구미시,10760,8395,2365,10686,7511,3175,10638,7699,2939,10556,7578,2978,10526,7622,2904
경북,영주시,13259,4443,8816,12929,3842,9087,12694,3853,8842,12536,3769,8768,12410,3734,8676
경북,영천시,13521,4100,9421,12983,2933,10050,12884,2822,10061,12784,2763,10021,12731,2771,9959
경북,상주시,24849,13008,11841,24427,13022,11405,24362,13045,11317,24246,12907,11339,24141,12821,11321
경북,문경시,10757,4468,6290,10648,4283,6365,10459,4254,6204,10388,4020,6368,10372,3962,6410
경북,경산시,9253,855,8397,8512,1252,7261,8394,1226,7167,8382,1174,7208,8296,1124,7172
경북,군위군,6946,2834,4111,6959,2518,4441,6867,2538,4329,6829,2542,4286,-,-,-
경북,의성군,19700,10122,9578,19538,9822,9716,19305,9964,9341,19149,9892,9257,19116,9986,9130
경북,청송군,7420,1241,6179,7419,946,6472,7378,892,6486,7230,842,6388,7201,843,6359
경북,영양군,5990,1248,4743,5725,608,5117,5715,583,5132,5684,587,5097,5637,599,5038
경북,영덕군,5607,2959,2649,5434,2008,3427,5290,2013,3277,5220,1992,3228,5203,2021,3182
경북,청도군,9776,2859,6918,9349,2518,6831,9248,2561,6687,9169,2538,6631,9155,2466,6689
경북,고령군,5650,4312,1338,5302,3355,1948,5240,3404,1836,5195,3263,1932,5192,3304,1888
경북,성주군,8167,5836,2330,8211,2693,5518,8170,2754,5417,8082,2755,5327,8073,2833,5240
경북,칠곡군,5689,2682,3008,5119,2083,3036,5078,2142,2936,5005,2124,2881,4983,2163,2820
경북,예천군,16953,9585,7368,16721,9715,7006,16584,9827,6756,16490,9682,6808,16325,9656,6669
경북,봉화군,11479,2754,8725,10679,2352,8327,10505,2356,8150,10266,2289,7977,10162,2241,7921
경북,울진군,4736,2955,1781,4346,2357,1989,4237,2328,1909,4221,2322,1899,4175,2297,1879
경북,울릉군,1116,0,1116,514,0,514,514,-,514,514,-,514,511,0,511
경남,소계,141889,80952,60937,138185,65491,72694,136294,64641,71653,134738,64874,69864,134243,65280,68963
경남,창원시,9031,5017,4014,8993,3858,5136,8916,3743,5173,8810,3944,4866,8789,3915,4874
경남,진주시,12596,5631,6965,12334,4546,7788,12148,4481,7667,11975,4445,7530,11958,4440,7518
경남,통영시,2542,419,2124,1775,404,1371,1752,408,1345,1750,379,1372,1745,395,1350
경남,사천시,7025,4040,2985,7096,3922,3175,7049,3935,3114,6964,3903,3061,6942,3897,3045
경남,김해시,7384,4343,3041,7302,3463,3839,7015,3388,3627,6950,3395,3555,6930,3428,3502
경남,밀양시,12845,6392,6453,12717,4261,8456,12558,4228,8329,12418,4542,7877,12400,4683,7717
경남,거제시,3910,1788,2121,3684,1385,2299,3576,1308,2269,3561,1279,2283,3555,1278,2277
경남,양산시,2400,1256,1143,2159,621,1538,2053,605,1449,2031,597,1434,2027,592,1435
경남,의령군,6035,4237,1798,5573,3223,2351,5476,3158,2318,5441,3188,2253,5387,3205,2181
경남,함안군,9085,5874,3210,8886,5325,3561,8833,5411,3423,8513,5133,3380,8485,5226,3259
경남,창녕군,10020,7288,2732,10194,5244,4950,10118,5412,4706,10067,5433,4634,10046,5646,4400
경남,고성군,9195,6523,2672,8780,5543,3236,8716,5437,3280,8669,5457,3212,8642,5445,3198
경남,남해군,5331,2190,3142,5332,2699,2633,5261,2501,2760,5176,2693,2483,5165,2678,2488
경남,하동군,8887,4432,4455,8656,4166,4491,8512,4128,4384,8478,4133,4346,8468,4166,4302
경남,산청군,6563,4194,2370,6833,3531,3302,6760,3439,3321,6672,3385,3288,6625,3356,3269
경남,함양군,7081,4002,3080,7020,3613,3407,6946,3195,3750,6875,3196,3679,6837,3177,3660
경남,거창군,10971,5395,5576,10210,4001,6209,10081,4004,6077,9947,4009,5938,9825,3977,5848
경남,합천군,10988,7931,3057,10639,5686,4953,10525,5860,4665,10440,5765,4675,10416,5776,4641
