시도,연도,작물,항목,값
강원도,2019,합계,면적 (ha),1771
강원도,2020,합계,면적 (ha),1761
강원도,2021,합계,면적 (ha),2443
강원도,2022,합계,면적 (ha),2642
강원도,2023,합계,면적 (ha),2655
강원도,2024,합계,면적 (ha),2605
전라남도,2019,합계,면적 (ha),11759
전라남도,2020,합계,면적 (ha),11120
전라남도,2021,합계,면적 (ha),10310
전라남도,2022,합계,면적 (ha),10971
전라남도,2023,합계,면적 (ha),10583
전라남도,2024,합계,면적 (ha),10078
경상북도,2019,합계,면적 (ha),37761
경상북도,2020,합계,면적 (ha),37072
경상북도,2021,합계,면적 (ha),38819
경상북도,2022,합계,면적 (ha),38615
경상북도,2023,합계,면적 (ha),37991
경상북도,2024,합계,면적 (ha),37883
경상남도,2019,합계,면적 (ha),11635
경상남도,2020,합계,면적 (ha),11368
경상남도,2021,합계,면적 (ha),12133
경상남도,2022,합계,면적 (ha),12874
경상남도,2023,합계,면적 (ha),12490
경상남도,2024,합계,면적 (ha),12555
강원도,2019,합계,생산량 (톤),22824
강원도,2020,합계,생산량 (톤),18772
강원도,2021,합계,생산량 (톤),35991
강원도,2022,합계,생산량 (톤),38294
강원도,2023,합계,생산량 (톤),31595
강원도,2024,합계,생산량 (톤),35944
전라남도,2019,합계,생산량 (톤),139165
전라남도,2020,합계,생산량 (톤),90932
전라남도,2021,합계,생산량 (톤),124390
전라남도,2022,합계,생산량 (톤),151616
전라남도,2023,합계,생산량 (톤),114186
전라남도,2024,합계,생산량 (톤),108269
경상북도,2019,합계,생산량 (톤),692022
경상북도,2020,합계,생산량 (톤),580823
경상북도,2021,합계,생산량 (톤),621513
경상북도,2022,합계,생산량 (톤),666555
경상북도,2023,합계,생산량 (톤),568873
경상북도,2024,합계,생산량 (톤),640005
경상남도,2019,합계,생산량 (톤),171482
경상남도,2020,합계,생산량 (톤),149825
경상남도,2021,합계,생산량 (톤),177952
경상남도,2022,합계,생산량 (톤),196532
경상남도,2023,합계,생산량 (톤),138906
경상남도,2024,합계,생산량 (톤),158715
강원도,2019,사과,면적 (ha),542
강원도,2020,사과,면적 (ha),517
강원도,2021,사과,면적 (ha),1053
강원도,2022,사과,면적 (ha),1192
강원도,2023,사과,면적 (ha),1217
강원도,2024,사과,면적 (ha),1226
전라남도,2019,사과,면적 (ha),390
전라남도,2020,사과,면적 (ha),389
전라남도,2021,사과,면적 (ha),122
전라남도,2022,사과,면적 (ha),141
전라남도,2023,사과,면적 (ha),159
전라남도,2024,사과,면적 (ha),157
경상북도,2019,사과,면적 (ha),14723
경상북도,2020,사과,면적 (ha),14323
경상북도,2021,사과,면적 (ha),16469
경상북도,2022,사과,면적 (ha),15677
경상북도,2023,사과,면적 (ha),14867
경상북도,2024,사과,면적 (ha),14137
경상남도,2019,사과,면적 (ha),2388
경상남도,2020,사과,면적 (ha),2639
경상남도,2021,사과,면적 (ha),2708
경상남도,2022,사과,면적 (ha),2763
경상남도,2023,사과,면적 (ha),2621
경상남도,2024,사과,면적 (ha),2580
강원도,2019,사과,10a당 생산량 (kg),1935
강원도,2020,사과,10a당 생산량 (kg),1590
강원도,2021,사과,10a당 생산량 (kg),2232
강원도,2022,사과,10a당 생산량 (kg),2085
강원도,2023,사과,10a당 생산량 (kg),1621
강원도,2024,사과,10a당 생산량 (kg),1852
전라남도,2019,사과,10a당 생산량 (kg),1402
전라남도,2020,사과,10a당 생산량 (kg),757
전라남도,2021,사과,10a당 생산량 (kg),1341
전라남도,2022,사과,10a당 생산량 (kg),1673
전라남도,2023,사과,10a당 생산량 (kg),678
전라남도,2024,사과,10a당 생산량 (kg),337
경상북도,2019,사과,10a당 생산량 (kg),2296
경상북도,2020,사과,10a당 생산량 (kg),1941
경상북도,2021,사과,10a당 생산량 (kg),1876
경상북도,2022,사과,10a당 생산량 (kg),2108
경상북도,2023,사과,10a당 생산량 (kg),1648
경상북도,2024,사과,10a당 생산량 (kg),2024
경상남도,2019,사과,10a당 생산량 (kg),2602
경상남도,2020,사과,10a당 생산량 (kg),1826
경상남도,2021,사과,10a당 생산량 (kg),2493
경상남도,2022,사과,10a당 생산량 (kg),2809
경상남도,2023,사과,10a당 생산량 (kg),1842
경상남도,2024,사과,10a당 생산량 (kg),2037
강원도,2019,사과,생산량 (톤),10486
강원도,2020,사과,생산량 (톤),8215
강원도,2021,사과,생산량 (톤),23503
강원도,2022,사과,생산량 (톤),24852
강원도,2023,사과,생산량 (톤),19729
강원도,2024,사과,생산량 (톤),22699
전라남도,2019,사과,생산량 (톤),5471
전라남도,2020,사과,생산량 (톤),2944
전라남도,2021,사과,생산량 (톤),1635
전라남도,2022,사과,생산량 (톤),2351
전라남도,2023,사과,생산량 (톤),1080
전라남도,2024,사과,생산량 (톤),528
경상북도,2019,사과,생산량 (톤),338085
경상북도,2020,사과,생산량 (톤),277942
경상북도,2021,사과,생산량 (톤),309034
경상북도,2022,사과,생산량 (톤),330532
경상북도,2023,사과,생산량 (톤),244990
경상북도,2024,사과,생산량 (톤),286099
경상남도,2019,사과,생산량 (톤),62136
경상남도,2020,사과,생산량 (톤),48194
경상남도,2021,사과,생산량 (톤),67524
경상남도,2022,사과,생산량 (톤),77610
경상남도,2023,사과,생산량 (톤),48286
경상남도,2024,사과,생산량 (톤),52553
강원도,2019,배,면적 (ha),188
강원도,2020,배,면적 (ha),124
강원도,2021,배,면적 (ha),101
강원도,2022,배,면적 (ha),97
강원도,2023,배,면적 (ha),110
강원도,2024,배,면적 (ha),83
전라남도,2019,배,면적 (ha),2123
전라남도,2020,배,면적 (ha),2049
전라남도,2021,배,면적 (ha),2440
전라남도,2022,배,면적 (ha),2587
전라남도,2023,배,면적 (ha),2485
전라남도,2024,배,면적 (ha),2400
경상북도,2019,배,면적 (ha),1020
경상북도,2020,배,면적 (ha),962
경상북도,2021,배,면적 (ha),1035
경상북도,2022,배,면적 (ha),942
경상북도,2023,배,면적 (ha),921
경상북도,2024,배,면적 (ha),905
경상남도,2019,배,면적 (ha),414
경상남도,2020,배,면적 (ha),286
경상남도,2021,배,면적 (ha),329
경상남도,2022,배,면적 (ha),398
경상남도,2023,배,면적 (ha),386
경상남도,2024,배,면적 (ha),385
강원도,2019,배,10a당 생산량 (kg),1638
강원도,2020,배,10a당 생산량 (kg),953
강원도,2021,배,10a당 생산량 (kg),1594
강원도,2022,배,10a당 생산량 (kg),1613
강원도,2023,배,10a당 생산량 (kg),806
강원도,2024,배,10a당 생산량 (kg),1913
전라남도,2019,배,10a당 생산량 (kg),2383
전라남도,2020,배,10a당 생산량 (kg),1356
전라남도,2021,배,10a당 생산량 (kg),2818
전라남도,2022,배,10a당 생산량 (kg),3435
전라남도,2023,배,10a당 생산량 (kg),2509
전라남도,2024,배,10a당 생산량 (kg),2234
경상북도,2019,배,10a당 생산량 (kg),2096
경상북도,2020,배,10a당 생산량 (kg),1123
경상북도,2021,배,10a당 생산량 (kg),2203
경상북도,2022,배,10a당 생산량 (kg),2901
경상북도,2023,배,10a당 생산량 (kg),2156
경상북도,2024,배,10a당 생산량 (kg),2303
경상남도,2019,배,10a당 생산량 (kg),1265
경상남도,2020,배,10a당 생산량 (kg),1022
경상남도,2021,배,10a당 생산량 (kg),1498
경상남도,2022,배,10a당 생산량 (kg),1692
경상남도,2023,배,10a당 생산량 (kg),628
경상남도,2024,배,10a당 생산량 (kg),1541
강원도,2019,배,생산량 (톤),3080
강원도,2020,배,생산량 (톤),1185
강원도,2021,배,생산량 (톤),1610
강원도,2022,배,생산량 (톤),1565
강원도,2023,배,생산량 (톤),889
강원도,2024,배,생산량 (톤),1590
전라남도,2019,배,생산량 (톤),50582
전라남도,2020,배,생산량 (톤),27788
전라남도,2021,배,생산량 (톤),68762
전라남도,2022,배,생산량 (톤),88866
전라남도,2023,배,생산량 (톤),62346
전라남도,2024,배,생산량 (톤),53613
경상북도,2019,배,생산량 (톤),21378
경상북도,2020,배,생산량 (톤),10796
경상북도,2021,배,생산량 (톤),22793
경상북도,2022,배,생산량 (톤),27318
경상북도,2023,배,생산량 (톤),19855
경상북도,2024,배,생산량 (톤),20840
경상남도,2019,배,생산량 (톤),5245
경상남도,2020,배,생산량 (톤),2924
경상남도,2021,배,생산량 (톤),4936
경상남도,2022,배,생산량 (톤),6727
경상남도,2023,배,생산량 (톤),2425
경상남도,2024,배,생산량 (톤),5924
강원도,2019,복숭아,면적 (ha),464
강원도,2020,복숭아,면적 (ha),472
강원도,2021,복숭아,면적 (ha),660
강원도,2022,복숭아,면적 (ha),692
강원도,2023,복숭아,면적 (ha),722
강원도,2024,복숭아,면적 (ha),674
전라남도,2019,복숭아,면적 (ha),596
전라남도,2020,복숭아,면적 (ha),598
전라남도,2021,복숭아,면적 (ha),583
전라남도,2022,복숭아,면적 (ha),678
전라남도,2023,복숭아,면적 (ha),669
전라남도,2024,복숭아,면적 (ha),666
경상북도,2019,복숭아,면적 (ha),6884
경상북도,2020,복숭아,면적 (ha),7124
경상북도,2021,복숭아,면적 (ha),7175
경상북도,2022,복숭아,면적 (ha),7146
경상북도,2023,복숭아,면적 (ha),6941
경상북도,2024,복숭아,면적 (ha),7505
경상남도,2019,복숭아,면적 (ha),363
경상남도,2020,복숭아,면적 (ha),380
경상남도,2021,복숭아,면적 (ha),343
경상남도,2022,복숭아,면적 (ha),352
경상남도,2023,복숭아,면적 (ha),340
경상남도,2024,복숭아,면적 (ha),409
강원도,2019,복숭아,10a당 생산량 (kg),910
강원도,2020,복숭아,10a당 생산량 (kg),816
강원도,2021,복숭아,10a당 생산량 (kg),831
강원도,2022,복숭아,10a당 생산량 (kg),830
강원도,2023,복숭아,10a당 생산량 (kg),786
강원도,2024,복숭아,10a당 생산량 (kg),908
전라남도,2019,복숭아,10a당 생산량 (kg),1039
전라남도,2020,복숭아,10a당 생산량 (kg),953
전라남도,2021,복숭아,10a당 생산량 (kg),991
전라남도,2022,복숭아,10a당 생산량 (kg),964
전라남도,2023,복숭아,10a당 생산량 (kg),732
전라남도,2024,복숭아,10a당 생산량 (kg),684
경상북도,2019,복숭아,10a당 생산량 (kg),1535
경상북도,2020,복숭아,10a당 생산량 (kg),1382
경상북도,2021,복숭아,10a당 생산량 (kg),1415
경상북도,2022,복숭아,10a당 생산량 (kg),1417
경상북도,2023,복숭아,10a당 생산량 (kg),1372
경상북도,2024,복숭아,10a당 생산량 (kg),1392
경상남도,2019,복숭아,10a당 생산량 (kg),1343
경상남도,2020,복숭아,10a당 생산량 (kg),1504
경상남도,2021,복숭아,10a당 생산량 (kg),1210
경상남도,2022,복숭아,10a당 생산량 (kg),1226
경상남도,2023,복숭아,10a당 생산량 (kg),1010
경상남도,2024,복숭아,10a당 생산량 (kg),1026
강원도,2019,복숭아,생산량 (톤),4224
강원도,2020,복숭아,생산량 (톤),3851
강원도,2021,복숭아,생산량 (톤),5483
강원도,2022,복숭아,생산량 (톤),5741
강원도,2023,복숭아,생산량 (톤),5679
강원도,2024,복숭아,생산량 (톤),6124
전라남도,2019,복숭아,생산량 (톤),6187
전라남도,2020,복숭아,생산량 (톤),5702
전라남도,2021,복숭아,생산량 (톤),5779
전라남도,2022,복숭아,생산량 (톤),6532
전라남도,2023,복숭아,생산량 (톤),4898
전라남도,2024,복숭아,생산량 (톤),4556
경상북도,2019,복숭아,생산량 (톤),105669
경상북도,2020,복숭아,생산량 (톤),98440
경상북도,2021,복숭아,생산량 (톤),101503
경상북도,2022,복숭아,생산량 (톤),101250
경상북도,2023,복숭아,생산량 (톤),95221
경상북도,2024,복숭아,생산량 (톤),104457
경상남도,2019,복숭아,생산량 (톤),4876
경상남도,2020,복숭아,생산량 (톤),5716
경상남도,2021,복숭아,생산량 (톤),4145
경상남도,2022,복숭아,생산량 (톤),4317
경상남도,2023,복숭아,생산량 (톤),3432
경상남도,2024,복숭아,생산량 (톤),4195
강원도,2019,포도,면적 (ha),208
강원도,2020,포도,면적 (ha),207
강원도,2021,포도,면적 (ha),205
강원도,2022,포도,면적 (ha),209
강원도,2023,포도,면적 (ha),182
강원도,2024,포도,면적 (ha),195
전라남도,2019,포도,면적 (ha),233
전라남도,2020,포도,면적 (ha),214
전라남도,2021,포도,면적 (ha),162
전라남도,2022,포도,면적 (ha),162
전라남도,2023,포도,면적 (ha),213
전라남도,2024,포도,면적 (ha),214
경상북도,2019,포도,면적 (ha),5306
경상북도,2020,포도,면적 (ha),4853
경상북도,2021,포도,면적 (ha),5065
경상북도,2022,포도,면적 (ha),5873
경상북도,2023,포도,면적 (ha),6626
경상북도,2024,포도,면적 (ha),7247
경상남도,2019,포도,면적 (ha),250
경상남도,2020,포도,면적 (ha),245
경상남도,2021,포도,면적 (ha),218
경상남도,2022,포도,면적 (ha),212
경상남도,2023,포도,면적 (ha),250
경상남도,2024,포도,면적 (ha),284
강원도,2019,포도,10a당 생산량 (kg),1180
강원도,2020,포도,10a당 생산량 (kg),1220
강원도,2021,포도,10a당 생산량 (kg),1224
강원도,2022,포도,10a당 생산량 (kg),1165
강원도,2023,포도,10a당 생산량 (kg),1221
강원도,2024,포도,10a당 생산량 (kg),1309
전라남도,2019,포도,10a당 생산량 (kg),1406
전라남도,2020,포도,10a당 생산량 (kg),1162
전라남도,2021,포도,10a당 생산량 (kg),1365
전라남도,2022,포도,10a당 생산량 (kg),1338
전라남도,2023,포도,10a당 생산량 (kg),1288
전라남도,2024,포도,10a당 생산량 (kg),1365
경상북도,2019,포도,10a당 생산량 (kg),1666
경상북도,2020,포도,10a당 생산량 (kg),1855
경상북도,2021,포도,10a당 생산량 (kg),1800
경상북도,2022,포도,10a당 생산량 (kg),1776
경상북도,2023,포도,10a당 생산량 (kg),1644
경상북도,2024,포도,10a당 생산량 (kg),1801
경상남도,2019,포도,10a당 생산량 (kg),2007
경상남도,2020,포도,10a당 생산량 (kg),1663
경상남도,2021,포도,10a당 생산량 (kg),1428
경상남도,2022,포도,10a당 생산량 (kg),1495
경상남도,2023,포도,10a당 생산량 (kg),1378
경상남도,2024,포도,10a당 생산량 (kg),1346
강원도,2019,포도,생산량 (톤),2454
강원도,2020,포도,생산량 (톤),2530
강원도,2021,포도,생산량 (톤),2510
강원도,2022,포도,생산량 (톤),2439
강원도,2023,포도,생산량 (톤),2218
강원도,2024,포도,생산량 (톤),2550
전라남도,2019,포도,생산량 (톤),3275
전라남도,2020,포도,생산량 (톤),2482
전라남도,2021,포도,생산량 (톤),2215
전라남도,2022,포도,생산량 (톤),2163
전라남도,2023,포도,생산량 (톤),2741
전라남도,2024,포도,생산량 (톤),2921
경상북도,2019,포도,생산량 (톤),88416
경상북도,2020,포도,생산량 (톤),90022
경상북도,2021,포도,생산량 (톤),91140
경상북도,2022,포도,생산량 (톤),104288
경상북도,2023,포도,생산량 (톤),108907
경상북도,2024,포도,생산량 (톤),130512
경상남도,2019,포도,생산량 (톤),5023
경상남도,2020,포도,생산량 (톤),4070
경상남도,2021,포도,생산량 (톤),3113
경상남도,2022,포도,생산량 (톤),3176
경상남도,2023,포도,생산량 (톤),3445
경상남도,2024,포도,생산량 (톤),3817
강원도,2019,감귤,면적 (ha),0
강원도,2020,감귤,면적 (ha),0
강원도,2021,감귤,면적 (ha),0
강원도,2022,감귤,면적 (ha),0
강원도,2023,감귤,면적 (ha),0
강원도,2024,감귤,면적 (ha),-
전라남도,2019,감귤,면적 (ha),46
전라남도,2020,감귤,면적 (ha),47
전라남도,2021,감귤,면적 (ha),91
전라남도,2022,감귤,면적 (ha),62
전라남도,2023,감귤,면적 (ha),99
전라남도,2024,감귤,면적 (ha),108
경상북도,2019,감귤,면적 (ha),3
경상북도,2020,감귤,면적 (ha),3
경상북도,2021,감귤,면적 (ha),4
경상북도,2022,감귤,면적 (ha),3
경상북도,2023,감귤,면적 (ha),3
경상북도,2024,감귤,면적 (ha),3
경상남도,2019,감귤,면적 (ha),0
경상남도,2020,감귤,면적 (ha),0
경상남도,2021,감귤,면적 (ha),5
경상남도,2022,감귤,면적 (ha),13
경상남도,2023,감귤,면적 (ha),13
경상남도,2024,감귤,면적 (ha),11
강원도,2019,감귤,10a당 생산량 (kg),0
강원도,2020,감귤,10a당 생산량 (kg),0
강원도,2021,감귤,10a당 생산량 (kg),0
강원도,2022,감귤,10a당 생산량 (kg),0
강원도,2023,감귤,10a당 생산량 (kg),0
강원도,2024,감귤,10a당 생산량 (kg),-
전라남도,2019,감귤,10a당 생산량 (kg),1525
전라남도,2020,감귤,10a당 생산량 (kg),1268
전라남도,2021,감귤,10a당 생산량 (kg),1298
전라남도,2022,감귤,10a당 생산량 (kg),1355
전라남도,2023,감귤,10a당 생산량 (kg),1276
전라남도,2024,감귤,10a당 생산량 (kg),1133
경상북도,2019,감귤,10a당 생산량 (kg),372
경상북도,2020,감귤,10a당 생산량 (kg),1117
경상북도,2021,감귤,10a당 생산량 (kg),1236
경상북도,2022,감귤,10a당 생산량 (kg),1223
경상북도,2023,감귤,10a당 생산량 (kg),1258
경상북도,2024,감귤,10a당 생산량 (kg),1056
경상남도,2019,감귤,10a당 생산량 (kg),1459
경상남도,2020,감귤,10a당 생산량 (kg),781
경상남도,2021,감귤,10a당 생산량 (kg),996
